,Station CRS,Number,Max distance,Mean distance,Median distance
0,BCU,64,66091.01908731625,29125.176242090096,25919.46373037788
0,BKW,155,70680.51049617567,30731.12048774443,25672.781306278444
0,BFF,35,71845.51273392097,35653.57847326394,33346.05501404926
0,BAI,268,114494.7828505736,32810.77612240544,24778.43001674085
0,BKD,151,88591.82105025272,32201.814955137892,28612.102417153088
0,BLT,265,109741.82395513573,32492.329316418432,26718.223784789174
0,BLA,29,147725.76060051273,65814.26034345344,68108.71676958831
0,BLO,86,106458.95781943387,48044.2192282557,52406.13632963224
0,BHO,625,84329.60519888611,27896.135402069733,24323.071454896482
0,BPB,254,90465.38932652642,47777.97288331521,46064.233365849315
0,BPN,261,90128.04017063724,50462.29450513303,48855.00020468734
0,BPS,254,90112.17977609907,48276.628046531376,46537.42117011346
0,BSB,117,85336.14468090294,40079.210023310916,37746.77237857563
0,BFR,690,74301.7419042111,25720.87622868582,23565.150073784804
0,BLG,272,120219.93199964805,31480.601439089376,25165.864280807047
0,BEU,220,174653.860741754,81479.67533024256,86583.13909262532
0,BBN,397,112656.83667669707,46684.106883475244,45610.1063362058
0,BKH,679,76458.7850282752,26986.850311251957,23305.59507362735
0,BKR,268,109204.61354723069,40286.96676401752,35512.38060939492
0,BKT,172,108078.72362310725,33022.42679321097,27769.47016059183
0,BLV,418,82723.56620093212,40796.38865465111,43654.005543592444
0,BLN,328,87454.54776625399,39254.366984560074,40269.16742372506
0,BIL,78,90009.59184998008,36807.52483186628,33858.464489390535
0,BWN,148,96275.02025447722,31178.538900512824,25334.771066658566
0,BLX,149,95368.67672354482,30622.074223173426,24755.02777215166
0,BLK,370,100282.9931992459,37751.00829377889,34886.72240265628
0,BLH,265,109266.06849795594,32991.741010759826,25898.80976618097
0,BLY,77,113435.75580918038,45374.2483004672,43698.22839658377
0,BTD,305,85123.30145148272,48998.725615037925,51922.594488144154
0,BEG,584,139775.04095152323,49509.74838974332,47645.85947383046
0,BYB,309,124545.23204442633,56031.552486347275,56527.31620635953
0,BMB,351,113927.16730437917,44020.64263410417,43408.224957111386
0,BML,370,84622.34281795795,40166.18929147465,43800.618991059935
0,BMY,184,62883.43779565491,38550.794328369295,38975.33328786424
0,BAN,148,87608.00219728789,53727.875392123206,55994.093518870366
0,BND,74,76508.53563492115,49504.9704458175,55573.573647912905
0,BIY,185,115084.29443238552,41389.69736995675,39643.193878868085
0,BNM,537,83846.650797751,37171.797165062395,37899.54630343983
0,BNL,272,121997.2509936187,31718.14829480118,25129.276253008164
0,BAH,328,81006.68873617784,36776.3593251328,39239.460559492916
0,BEY,178,80464.16904436408,43407.71639413017,43666.04630602592
0,BNI,671,95387.74816505525,26613.583311417933,21277.93458021713
0,BUD,44,93453.4179417746,46226.446651057624,39215.07438829178
0,BNY,249,101944.70976956087,42231.606132242894,43253.700015143215
0,BTB,88,80567.84501275928,49612.90824906583,58494.48971386046
0,BTY,450,80367.90151546823,52247.03617792628,55824.47381988009
0,BFD,673,93916.7494379996,28036.574298894728,22705.849306423388
0,BEN,157,92027.74377871056,54086.47963247256,56213.81013594435
0,BRW,328,77475.1703450854,36913.62469970471,39912.47139679526
0,BOD,49,88487.43336768221,39968.62117376355,35047.05016117619
0,BOR,40,112621.49350812215,57248.62124454115,42164.539763858134
0,BOG,171,121123.47963958103,54967.01550391981,52780.68468672986
0,BGS,257,147270.0722618143,45755.2859129808,35489.795682784796
0,BON,370,93295.86660190257,36914.67742201735,36145.60830861752
0,BMH,55,58008.83122421965,34674.22689586652,39669.2425591769
0,BKA,686,92439.03206979182,37063.25942854456,33626.72747978905
0,BRO,55,112483.34518941015,55227.73704535612,60959.6153978206
0,BOC,46,84148.34587797908,37603.1272779476,35635.07165789603
0,BNW,328,82621.5375613405,37028.57065419172,38356.64954085537
0,BOT,328,82118.63772006937,37008.00637501721,38590.090969055775
0,BNE,500,88287.58360041349,41239.494813124766,42221.3311081821
0,BRH,55,133441.170558415,62459.45906168037,49540.3399772054
0,BRG,479,64734.39302256568,35508.417681276434,36143.554681298294
0,BOH,178,130352.28250015418,56991.668422441675,52990.65355324465
0,BSN,59,103973.11299081123,60592.81589303657,62324.70968735192
0,BTF,78,85502.01167224078,37289.62697609041,33935.330984093845
0,BOE,206,156315.16221403476,67555.63100385008,69952.2061558053
0,BRV,173,102787.44329926686,30474.91311777661,23695.539664671072
0,BWB,57,112538.44598624951,36473.8697303033,34230.25635311544
0,BOP,638,80430.40423247915,27977.856980226687,24584.198258230834
0,BWG,268,137393.07706358423,37962.11844856799,28498.058337367478
0,BXW,665,93629.41553272668,37430.255793893666,34522.67922685028
0,BCE,529,75673.26926993442,41309.81504839839,44670.012995296966
0,BDQ,274,99452.07589588063,43842.08575894698,47340.6363497577
0,BDI,274,100129.89621486682,43689.592073674925,47162.74964418423
0,BTP,141,105202.1282294232,46268.141434996,45568.021334403595
0,BTR,141,105394.66510217678,46502.44868254126,45357.00301363098
0,BRP,92,120093.05194306621,57945.24679185113,56783.25391345586
0,BSM,55,57689.835725195124,35868.40498727561,40661.70463747614
0,BDB,315,85143.08721205733,39391.940114591285,41739.39938379235
0,BSY,642,87162.14502293986,27203.92817466678,22136.794965649176
0,BSP,655,87664.88022577799,26845.58788444221,21463.8882777562
0,BOA,102,94002.21608026058,45735.78195760842,44383.25220729089
0,BWT,83,76625.54877454386,50311.46369028492,52606.50511350979
0,BDN,25,39076.88069690312,17056.16284764049,18872.565511874636
0,BDT,42,69769.33344242297,44561.1746822538,48913.4516995412
0,BLL,88,113435.10232727787,64724.40132527293,64783.03787911007
0,BBS,172,105673.71716751522,29510.212877725844,23857.713637312358
0,BDY,353,108695.73107532789,38946.39921602352,41662.19791583925
0,BRC,264,89820.37630738362,42569.8302836121,39112.61944692531
0,BYF,79,152233.43832745813,57532.09851929522,61859.356608357964
0,BMF,96,97929.69978510095,46874.73880835202,47381.178752749496
0,BGI,264,114154.53823655019,31782.910566385504,24394.034619144084
0,BGN,160,112543.05247326464,40367.368765718136,28593.220612585774
0,BGG,135,110182.94028115242,63493.86588405787,67533.0527149484
0,LRB,214,98020.32757545753,49450.67040375798,53137.118395037265
0,BTN,214,97747.8551836305,49904.10561963332,53755.505557416516
0,BRR,262,122883.67110808498,33530.61454198388,25047.195451786614
0,BAA,172,116941.91221285891,52166.89776205329,51565.39011779122
0,BGH,287,87136.89918742806,40233.28918450217,39549.067325897006
0,BDG,263,119608.27543694458,30182.659864782523,23966.85762550778
0,BRF,310,88062.77717628487,49219.40806269129,49584.4623748206
0,BMD,581,72166.61589682587,30329.17277352577,27760.84477601308
0,BNF,161,96685.5728637939,44346.881087780675,42508.857727937124
0,BHD,134,60328.748213434694,27211.42147243071,23865.626967128537
0,BRX,703,85957.31615168077,25799.60675080188,18328.23232065766
0,BPK,549,99053.17869710189,32520.27390772386,31574.597416277535
0,CNP,258,77985.61998855943,31573.78785157661,30862.67972811175
0,BKC,258,77411.14705906379,31614.30532479724,30945.85455275068
0,BKN,258,79755.81885354823,32731.655246560822,32207.501548552318
0,BKP,257,78687.41002854268,32166.802613673535,31508.726202193506
0,BKO,574,87459.48667811857,39544.27602741495,40726.26539060466
0,BRS,653,82720.72361869183,27637.971865230906,23912.364095660476
0,BUY,246,104041.15928323752,44052.227898757505,45521.1865508798
0,BOM,305,101124.52440926484,37608.347331871875,40304.934613429214
0,BMR,305,101720.17855371667,37390.09247330584,39893.635588229154
0,BMC,370,96565.34336914046,38465.441367240586,38484.497982954126
0,BLE,241,102507.85774758928,43232.64365242684,46038.90936156945
0,BRM,34,88293.96142998681,23320.7592323228,19909.0431713832
0,BMP,81,141537.87298458317,72566.3074649273,71384.04533927732
0,BMV,161,86910.1480840989,32519.512083304988,26960.445983039208
0,BCN,246,151713.95988833724,48063.64831487825,38735.6653723779
0,BNT,353,110182.94028115242,38393.54539519282,40644.54219194308
0,BNH,658,85908.57546252295,31103.760154758045,28350.765862671153
0,BUU,424,91394.58093891563,60441.633011155296,63921.341232799554
0,BNP,41,81296.55870330552,53887.10894594082,57793.38456951626
0,BYA,59,84983.5577803142,42529.776575747965,42808.5610596759
0,BGE,328,74453.96544174125,34490.699566680116,36406.58958210725
0,BCY,650,73535.1159174989,25455.123274165246,21437.716031422737
0,BMN,673,74322.2259690868,27879.589525812462,24354.499071013553
0,BMS,670,69338.08919345845,27910.367769703324,24549.26673404575
0,BME,75,125064.54333663078,67286.76417471026,69481.36940052749
0,BRA,32,87149.43143819127,45506.94137967112,42652.655368687185
0,BUH,96,104239.53628542292,50937.78565208488,52509.9562846194
0,BXB,561,86096.49791367823,35679.09700082552,34513.09335600041
0,BRL,204,131663.70874314607,88161.20407870904,91467.01699608285
0,BYL,59,99919.60968698787,54612.71149754389,62715.33117657197
0,BCB,336,90027.7377811972,39578.74610146087,37011.56319314276
0,BCJ,296,79414.87297729563,34346.95511443003,32180.432719278342
0,BUI,262,115896.70066485931,30410.445477474073,23785.928613362987
0,BSR,81,84328.1630121278,47747.20494929984,52231.7834840352
0,BRI,167,93156.91976444906,44093.02370772411,45597.79819245662
0,BPW,171,100110.42800827495,46325.11665944301,47807.92210502356
0,BAU,59,81667.87718558626,49151.52013347948,60042.4470603922
0,BUJ,117,79139.89938078012,38529.3353562531,37983.52932522201
0,BRE,581,77424.30256708807,37861.72297653113,35344.04031331975
0,BCV,614,70509.44635295331,27434.885848996386,24083.246334329597
0,BDA,73,93613.38291077831,47474.296604703086,45167.49876847289
0,BGA,73,93327.87059072976,47377.05814303619,45736.62208777557
0,BSU,265,113096.99377083371,65516.26490568199,70902.01566246196
0,BRU,75,83014.98279828769,41065.07157552148,40882.51459976502
0,BWK,9,80741.86228345244,60104.39294479195,64342.13743729687
0,BNR,74,110186.22747421748,50489.50220527353,49174.68962788017
0,BYN,344,79104.93887236119,32973.36830995356,30187.594041261385
0,BYS,46,77041.57358855022,40478.8356320526,40540.943486948934
0,BIA,68,71316.51281435457,37605.635786906976,35672.78082799725
0,BSC,173,97902.72570260748,31896.39101996,26020.162124783157
0,BRN,265,129675.24098685916,32923.23590683355,25228.45361027145
0,BBG,277,124415.19049135438,33725.15287556451,26663.81029617005
