,Station CRS,Number,Max distance,Mean distance,Median distance,Reachable Population
0,BKW,1034,225347.11003250076,114661.77465059583,123668.04356825574,7033194.0
0,BFF,765,307249.3103425946,130219.82500344214,131915.7863535678,5176046.0
0,BAI,482,267379.18229548086,83287.74993948193,52077.01052287852,511807.0
0,BKD,1141,204503.30327405472,118676.13692867309,122392.64810680553,7803363.0
0,BLT,707,319674.9456088168,149156.07987453835,148164.0436307001,2167815.0
0,BLA,417,233792.0325845173,109140.98761899422,105337.03830637979,69706.0
0,BLO,338,202496.65503410174,114924.67163400869,127505.03617504683,1584685.0
0,BHO,1012,206920.56277711986,54131.15280977379,43421.44891640536,7405635.0
0,BPB,963,300392.1270556204,121522.99760732551,112249.6539657343,5574762.0
0,BPN,962,303275.2177478404,122800.44368556129,113093.15823691546,5568830.0
0,BPS,963,301167.6353212609,121780.63538395302,112279.71579754507,5576873.0
0,BSB,989,248234.98267770399,113550.21470552788,109840.77243453776,7047332.0
0,BFR,1286,296583.37308756873,75201.45278453409,61158.16476154267,9271883.0
0,BLG,752,329795.2406039238,157647.26141356773,169302.3526121241,2245364.0
0,BEU,1308,346834.1797141683,134257.17971413946,125836.21858640555,9108966.0
0,BBN,1159,300093.29382710304,127249.11776360741,118554.43857570243,6033401.0
0,BKH,1144,246777.42122203967,67352.48366033928,46551.402145768145,8189608.0
0,BKR,482,263299.4549272748,87010.78337272,57418.14016493394,511807.0
0,BKT,1085,204085.91358788093,110348.61234189721,117079.97266825783,7324546.0
0,BLV,1048,306725.2329838548,105442.27059230774,92058.93313524766,6346840.0
0,BLN,1007,322006.6330062162,113642.00032296567,110661.87238611138,6168661.0
0,BIL,547,194515.82975429017,118249.62385674052,127918.85040068519,3579413.0
0,BWN,978,191236.96197388202,105397.39475229355,108619.35658527903,6615476.0
0,BLX,979,191953.21122606937,105503.7244761165,109472.44630499494,6615476.0
0,BLK,1033,312729.5970962774,109971.41937201467,101222.93911145086,6214896.0
0,BLH,707,319584.0344103566,149394.96772526015,146873.50969456678,2167815.0
0,BLY,1147,218820.65634212873,89301.3804407863,83245.1993630864,8637134.0
0,BTD,980,278103.83321701986,110444.39583098877,105612.51464670274,6502389.0
0,BEG,1007,235489.815841365,70755.69098958251,56446.12814901951,7393071.0
0,BYB,938,263611.5014732855,96434.49313888678,82469.44903221374,6226929.0
0,BMB,1147,296382.0509072707,127905.32995517756,120938.46575841782,5988226.0
0,BML,1095,317501.94784284395,110018.68863574187,92888.07846516185,6630638.0
0,BMY,1319,282196.605027417,95644.64485846242,80611.17446731564,9338817.0
0,BAN,1461,228164.46549364342,118708.12022606395,111341.0500624096,10622052.0
0,BND,325,202637.2491127927,95259.60861832494,96003.5493828154,2422975.0
0,BIY,913,302998.3277594119,115086.66696926336,90552.9503936785,5025873.0
0,BNM,1148,215987.87824551636,69677.8645723109,55759.437344722195,8334137.0
0,BNL,752,331721.7059901266,158514.3325555493,171498.239349563,2245364.0
0,BAH,1007,316033.702862527,111470.0501163378,108097.3183987466,6176108.0
0,BEY,990,297923.50427584595,120627.35108069316,97756.05857219391,5617526.0
0,BNI,1081,239544.64533568686,54958.15960740534,40456.37106810249,7812551.0
0,BUD,966,296484.51630565803,136432.43314989723,122320.84636759007,4877898.0
